name,year,Price,kms_driven,fuel_type,company
Volkswagen Vento Highline,2015,550000,34000,Diesel,Volkswagen
Renault Kwid RXT,2015,270000,43000,Petrol,Renault
Ford EcoSport Titanium,2014,500000,40000,Diesel,Ford
Honda Amaze 1.5,2016,240000,160000,Diesel,Honda
Hyundai Verna 1.6,2017,800000,12000,Petrol,Hyundai
BMW 5 Series,2011,1299000,49000,Diesel,BMW
Skoda Superb 1.8,2011,530000,68000,Petrol,Skoda
Audi Q3 2.0,2013,1499000,37000,Diesel,Audi
Mahindra Bolero DI,2012,220000,59466,Diesel,Mahindra
Mahindra Scorpio S10,2015,900000,97200,Diesel,Mahindra
Ford Figo Duratorq,2012,250000,99000,Diesel,Ford
Maruti Suzuki Wagon,2018,395000,25500,Petrol,Maruti
Mahindra Logan Diesel,2009,130000,66000,Petrol,Mahindra
Tata Nano GenX,2010,32000,44005,Petrol,Tata
Mahindra TUV300 T4,2016,540000,35000,Diesel,Mahindra
Mahindra TUV300 T4,2016,540000,35000,Diesel,Mahindra
Hyundai Elite i20,2015,405000,28000,Petrol,Hyundai
Hyundai Elite i20,2015,400000,30000,Petrol,Hyundai
Honda City SV,2017,760000,4000,Petrol,Honda
Maruti Suzuki Baleno,2016,500000,28000,Petrol,Maruti
Ford Figo Petrol,2011,175000,75000,Petrol,Ford
Mahindra Scorpio S10,2015,900000,97200,Diesel,Mahindra
Honda City,2017,750000,3000,Petrol,Honda
Hyundai Elite i20,2015,419000,20000,Petrol,Hyundai
Maruti Suzuki Versa,2004,90000,50000,Petrol,Maruti
Hyundai Eon Era,2018,140000,2110,Petrol,Hyundai
Mitsubishi Pajero Sport,2015,1540000,43222,Petrol,Mitsubishi
Hyundai i10 Magna,2008,275000,100200,Petrol,Hyundai
Toyota Corolla H2,2003,150000,100000,Petrol,Toyota
Maruti Suzuki Swift,2011,230000,65,Petrol,Maruti
Tata Indigo CS,2015,123000,100000,Diesel,Tata
Mahindra Scorpio S10,2015,900000,97200,Diesel,Mahindra
Mahindra Scorpio S10,2015,900000,97200,Diesel,Mahindra
Hyundai Xcent Base,2016,300000,140000,Diesel,Hyundai
